population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,44563,African Region,1,Male,1,<5 years,494,Stroke,1,Number,2014,1496.7288158146966,2684.271292620029,741.092183262356
1,All Population,1,Deaths,44563,African Region,2,Female,1,<5 years,494,Stroke,1,Number,2014,1324.8914502415685,2599.670424591975,582.823160989469
1,All Population,1,Deaths,44563,African Region,1,Male,2,0-6 days,494,Stroke,1,Number,2014,133.19236422822806,242.61443043732666,58.046510400144655
1,All Population,1,Deaths,44563,African Region,2,Female,2,0-6 days,494,Stroke,1,Number,2014,157.553055504658,274.9389876202696,83.57254797053656
1,All Population,1,Deaths,44563,African Region,1,Male,3,7-27 days,494,Stroke,1,Number,2014,75.97222523236138,120.2517185680213,42.66453138349225
1,All Population,1,Deaths,44563,African Region,2,Female,3,7-27 days,494,Stroke,1,Number,2014,66.95499762638363,126.98727981382022,31.79350295260374
1,All Population,1,Deaths,44563,African Region,1,Male,6,5-9 years,494,Stroke,1,Number,2014,754.4543138799075,1269.9871285597158,396.76117680126987
1,All Population,1,Deaths,44563,African Region,2,Female,6,5-9 years,494,Stroke,1,Number,2014,526.001503925116,913.0417693191636,266.66098717900866
1,All Population,1,Deaths,44563,African Region,1,Male,7,10-14 years,494,Stroke,1,Number,2014,586.4230372784936,930.4860118922896,339.24940168726494
1,All Population,1,Deaths,44563,African Region,2,Female,7,10-14 years,494,Stroke,1,Number,2014,707.1004307723474,1166.181668410415,365.3977926302267
1,All Population,1,Deaths,44563,African Region,1,Male,8,15-19 years,494,Stroke,1,Number,2014,1623.7617708510925,2399.3295443862885,1031.794374545397
1,All Population,1,Deaths,44563,African Region,2,Female,8,15-19 years,494,Stroke,1,Number,2014,2117.233925081507,3015.912484545656,1390.4959077165847
1,All Population,1,Deaths,44563,African Region,1,Male,9,20-24 years,494,Stroke,1,Number,2014,1800.3580732270702,2607.269469309285,1195.5797312488662
1,All Population,1,Deaths,44563,African Region,2,Female,9,20-24 years,494,Stroke,1,Number,2014,1843.090769894018,2652.7869141754,1191.8562735819075
1,All Population,1,Deaths,44563,African Region,1,Male,10,25-29 years,494,Stroke,1,Number,2014,1677.852878025811,2483.275284008952,1088.6958952071918
1,All Population,1,Deaths,44563,African Region,2,Female,10,25-29 years,494,Stroke,1,Number,2014,1846.3134283854652,2588.634012287939,1238.2408659334817
1,All Population,1,Deaths,44563,African Region,1,Male,11,30-34 years,494,Stroke,1,Number,2014,3359.9140401821487,5024.06232611333,2258.456819413375
1,All Population,1,Deaths,44563,African Region,2,Female,11,30-34 years,494,Stroke,1,Number,2014,3513.9993509723954,4901.800947965175,2389.41035820925
1,All Population,1,Deaths,44563,African Region,1,Male,12,35-39 years,494,Stroke,1,Number,2014,3565.0897814765285,5230.050297618239,2449.612873415962
1,All Population,1,Deaths,44563,African Region,2,Female,12,35-39 years,494,Stroke,1,Number,2014,3945.267032799097,5497.142492232781,2696.9399081146257
1,All Population,1,Deaths,44563,African Region,1,Male,13,40-44 years,494,Stroke,1,Number,2014,7004.888911575559,9873.89598536387,4803.208772777328
1,All Population,1,Deaths,44563,African Region,2,Female,13,40-44 years,494,Stroke,1,Number,2014,6458.687581422389,8947.59747350909,4567.7644262373915
1,All Population,1,Deaths,44563,African Region,1,Male,14,45-49 years,494,Stroke,1,Number,2014,8187.39168146676,11381.361438409684,5831.587287545633
1,All Population,1,Deaths,44563,African Region,2,Female,14,45-49 years,494,Stroke,1,Number,2014,7360.470594226809,9820.412980466355,5238.141380755997
1,All Population,1,Deaths,44563,African Region,1,Male,15,50-54 years,494,Stroke,1,Number,2014,14007.615574891473,18649.83523556154,10528.618980915671
1,All Population,1,Deaths,44563,African Region,2,Female,15,50-54 years,494,Stroke,1,Number,2014,12228.00801988513,15872.468538428031,9139.628557132359
1,All Population,1,Deaths,44563,African Region,1,Male,16,55-59 years,494,Stroke,1,Number,2014,16851.47215651425,22611.600180206413,12551.436898895652
1,All Population,1,Deaths,44563,African Region,2,Female,16,55-59 years,494,Stroke,1,Number,2014,13347.34020373142,17091.137477665343,10111.513278625798
1,All Population,1,Deaths,44563,African Region,1,Male,17,60-64 years,494,Stroke,1,Number,2014,26282.131752480174,33737.36688826512,20145.176490140067
1,All Population,1,Deaths,44563,African Region,2,Female,17,60-64 years,494,Stroke,1,Number,2014,20427.682228555434,25261.319117302915,16083.632641648195
1,All Population,1,Deaths,44563,African Region,1,Male,18,65-69 years,494,Stroke,1,Number,2014,28083.771590123448,37069.801368142325,21297.560684098527
1,All Population,1,Deaths,44563,African Region,2,Female,18,65-69 years,494,Stroke,1,Number,2014,22801.25859631626,28335.95748364118,17707.994902702227
1,All Population,1,Deaths,44563,African Region,1,Male,19,70-74 years,494,Stroke,1,Number,2014,27855.726662407316,36949.74712325448,21239.404624538034
1,All Population,1,Deaths,44563,African Region,2,Female,19,70-74 years,494,Stroke,1,Number,2014,27369.89055831444,34170.91024902999,20808.613777678158
1,All Population,1,Deaths,44563,African Region,1,Male,20,75-79 years,494,Stroke,1,Number,2014,26187.392039894752,35589.73980371691,19791.230343459192
1,All Population,1,Deaths,44563,African Region,2,Female,20,75-79 years,494,Stroke,1,Number,2014,33722.25564711534,41540.412802636056,26484.600621647303
1,All Population,1,Deaths,44563,African Region,1,Male,21,80+ years,494,Stroke,1,Number,2014,42276.52847371645,59535.24346850104,29832.317782848335
1,All Population,1,Deaths,44563,African Region,2,Female,21,80+ years,494,Stroke,1,Number,2014,61676.217898377756,80289.876926883,45166.72736687983
1,All Population,1,Deaths,44563,African Region,1,Male,23,5-14 years,494,Stroke,1,Number,2014,1340.8773511584027,2177.283862458336,742.4679715388237
1,All Population,1,Deaths,44563,African Region,2,Female,23,5-14 years,494,Stroke,1,Number,2014,1233.1019346974638,2081.026151310578,633.8939605265905
1,All Population,1,Deaths,44563,African Region,1,Male,24,15-49 years,494,Stroke,1,Number,2014,27219.257136804976,39031.05251559288,18597.589470150357
1,All Population,1,Deaths,44563,African Region,2,Female,24,15-49 years,494,Stroke,1,Number,2014,27085.062682781685,36990.19193600447,19033.600934298836
1,All Population,1,Deaths,44563,African Region,1,Male,25,50-69 years,494,Stroke,1,Number,2014,85224.99107400933,111234.95651796328,64649.54371999675
1,All Population,1,Deaths,44563,African Region,2,Female,25,50-69 years,494,Stroke,1,Number,2014,68804.28904848824,86302.28549982411,53265.820827879535
1,All Population,1,Deaths,44563,African Region,1,Male,26,70+ years,494,Stroke,1,Number,2014,96319.6471760185,132577.88184919246,71120.71978149106
1,All Population,1,Deaths,44563,African Region,2,Female,26,70+ years,494,Stroke,1,Number,2014,122768.36410380754,156835.38363697997,92425.92820954477
1,All Population,1,Deaths,44563,African Region,1,Male,28,<1 year,494,Stroke,1,Number,2014,1074.965824579236,1884.2909775889432,527.2317195472712
1,All Population,1,Deaths,44563,African Region,2,Female,28,<1 year,494,Stroke,1,Number,2014,857.1727699475156,1656.948693541442,376.1411945539963
1,All Population,1,Deaths,44563,African Region,1,Male,30,80-84 years,494,Stroke,1,Number,2014,20886.162240958336,29074.461440872943,15078.453713107554
1,All Population,1,Deaths,44563,African Region,2,Female,30,80-84 years,494,Stroke,1,Number,2014,27194.74400776458,34261.41005670731,20519.46757230801
1,All Population,1,Deaths,44563,African Region,1,Male,31,85-89 years,494,Stroke,1,Number,2014,13250.481915514501,18578.53704043002,9405.675515791465
1,All Population,1,Deaths,44563,African Region,2,Female,31,85-89 years,494,Stroke,1,Number,2014,19628.57933056843,25540.44012307418,14398.146544818643
1,All Population,1,Deaths,44563,African Region,1,Male,32,90-94 years,494,Stroke,1,Number,2014,5695.656280680413,8015.049193846902,3960.7550118131335
1,All Population,1,Deaths,44563,African Region,2,Female,32,90-94 years,494,Stroke,1,Number,2014,9669.567179009815,13291.201055219073,6490.619155422331
1,All Population,1,Deaths,44563,African Region,1,Male,34,2-4 years,494,Stroke,1,Number,2014,359.7726651224666,621.5488226820435,187.97414943171336
1,All Population,1,Deaths,44563,African Region,2,Female,34,2-4 years,494,Stroke,1,Number,2014,329.9803077861547,651.9170019546237,143.8677311164453
1,All Population,1,Deaths,44563,African Region,1,Male,37,20+ years,494,Stroke,1,Number,2014,207140.1336159818,279568.26223285985,153844.1429990051
1,All Population,1,Deaths,44563,African Region,2,Female,37,20+ years,494,Stroke,1,Number,2014,216540.481909996,275988.373902777,164490.1009903543
1,All Population,1,Deaths,44563,African Region,1,Male,39,0-14 years,494,Stroke,1,Number,2014,2837.6061669730984,4799.477577753784,1533.6748485513203
1,All Population,1,Deaths,44563,African Region,2,Female,39,0-14 years,494,Stroke,1,Number,2014,2557.99338493903,4613.590531836744,1217.73692441832
1,All Population,1,Deaths,44563,African Region,1,Male,41,50-74 years,494,Stroke,1,Number,2014,113080.71773641667,147459.45323214005,85399.59782595755
1,All Population,1,Deaths,44563,African Region,2,Female,41,50-74 years,494,Stroke,1,Number,2014,96174.17960680269,119996.50015832631,74255.0766550756
1,All Population,1,Deaths,44563,African Region,1,Male,42,<28 days,494,Stroke,1,Number,2014,209.16458946058967,353.7298510715645,102.93269566075486
1,All Population,1,Deaths,44563,African Region,2,Female,42,<28 days,494,Stroke,1,Number,2014,224.50805313104155,393.65373981932214,115.40254518828093
1,All Population,1,Deaths,44563,African Region,1,Male,157,25+ years,494,Stroke,1,Number,2014,205339.7755427545,277227.1197743847,152764.82125952502
1,All Population,1,Deaths,44563,African Region,2,Female,157,25+ years,494,Stroke,1,Number,2014,214697.39114010186,273604.66458362585,163242.87059073677
1,All Population,1,Deaths,44563,African Region,1,Male,158,<20 years,494,Stroke,1,Number,2014,4461.367937824187,7118.68097273577,2568.1785197308336
1,All Population,1,Deaths,44563,African Region,2,Female,158,<20 years,494,Stroke,1,Number,2014,4675.227310020539,7594.6692738905795,2612.8173613702547
1,All Population,1,Deaths,44563,African Region,1,Male,159,10-24 years,494,Stroke,1,Number,2014,4010.5428813566573,5811.881688372587,2602.969683168435
1,All Population,1,Deaths,44563,African Region,2,Female,159,10-24 years,494,Stroke,1,Number,2014,4667.425125747871,6817.683928587074,2954.627594297817
1,All Population,1,Deaths,44563,African Region,1,Male,160,85+ years,494,Stroke,1,Number,2014,21390.366232758075,30502.946557359337,14921.222792575816
1,All Population,1,Deaths,44563,African Region,2,Female,160,85+ years,494,Stroke,1,Number,2014,34481.47389061318,45923.7501012931,24034.456583949388
1,All Population,1,Deaths,44563,African Region,1,Male,162,10-19 years,494,Stroke,1,Number,2014,2210.1848081295852,3261.0282734385573,1384.5074193935877
1,All Population,1,Deaths,44563,African Region,2,Female,162,10-19 years,494,Stroke,1,Number,2014,2824.334355853854,4115.187657726251,1771.376851382283
1,All Population,1,Deaths,44563,African Region,1,Male,169,10-54 years,494,Stroke,1,Number,2014,41813.29574897496,58695.6641255288,29585.61114916517
1,All Population,1,Deaths,44563,African Region,2,Female,169,10-54 years,494,Stroke,1,Number,2014,40020.171133439144,54015.33245844279,28834.967919393985
1,All Population,1,Deaths,44563,African Region,1,Male,197,15-39 years,494,Stroke,1,Number,2014,12026.976543762648,17649.866268043334,8059.7306633469825
1,All Population,1,Deaths,44563,African Region,2,Female,197,15-39 years,494,Stroke,1,Number,2014,13265.904507132484,18691.919154333264,9056.86669551819
1,All Population,1,Deaths,44563,African Region,1,Male,228,55+ years,494,Stroke,1,Number,2014,167537.02267513642,225947.09473690984,126204.68450469885
1,All Population,1,Deaths,44563,African Region,2,Female,228,55+ years,494,Stroke,1,Number,2014,179344.6451324107,224323.47240862175,137489.1216087406
1,All Population,1,Deaths,44563,African Region,1,Male,231,60+ years,494,Stroke,1,Number,2014,150685.55051862227,202441.5555764392,113739.75243150283
1,All Population,1,Deaths,44563,African Region,2,Female,231,60+ years,494,Stroke,1,Number,2014,165997.3049286792,208442.64913285171,127030.94464550113
1,All Population,1,Deaths,44563,African Region,1,Male,232,65-74 years,494,Stroke,1,Number,2014,55939.49825253076,73665.00406886822,42578.906442717205
1,All Population,1,Deaths,44563,African Region,2,Female,232,65-74 years,494,Stroke,1,Number,2014,50171.14915463067,62491.3753294159,38722.05465403178
1,All Population,1,Deaths,44563,African Region,1,Male,234,75+ years,494,Stroke,1,Number,2014,68463.92051361116,95501.13978481943,49622.046560005605
1,All Population,1,Deaths,44563,African Region,2,Female,234,75+ years,494,Stroke,1,Number,2014,95398.47354549309,122547.13523782798,71162.93268059725
1,All Population,1,Deaths,44563,African Region,1,Male,235,95+ years,494,Stroke,1,Number,2014,2444.2280365631564,3699.7325816751913,1549.837953782988
1,All Population,1,Deaths,44563,African Region,2,Female,235,95+ years,494,Stroke,1,Number,2014,5183.327381034935,7488.896666875618,3224.167912738476
1,All Population,1,Deaths,44563,African Region,1,Male,238,12-23 months,494,Stroke,1,Number,2014,61.99032611299309,122.88432764584175,28.001021338512707
1,All Population,1,Deaths,44563,African Region,2,Female,238,12-23 months,494,Stroke,1,Number,2014,137.73837250789802,263.3386943564971,59.28066711810383
1,All Population,1,Deaths,44563,African Region,1,Male,243,75-84 years,494,Stroke,1,Number,2014,47073.5542808531,64585.50427449674,34897.79346827413
1,All Population,1,Deaths,44563,African Region,2,Female,243,75-84 years,494,Stroke,1,Number,2014,60916.99965487992,75904.72120186473,47348.84201418781
1,All Population,1,Deaths,44563,African Region,1,Male,284,20-54 years,494,Stroke,1,Number,2014,39603.11094084533,55016.17969043459,28184.218168224605
1,All Population,1,Deaths,44563,African Region,2,Female,284,20-54 years,494,Stroke,1,Number,2014,37195.8367775853,49854.031626147414,26940.06486722727
1,All Population,1,Deaths,44563,African Region,1,Male,388,1-5 months,494,Stroke,1,Number,2014,556.7284315293227,992.4408233263524,269.2838742660423
1,All Population,1,Deaths,44563,African Region,2,Female,388,1-5 months,494,Stroke,1,Number,2014,406.3633554346581,784.8811241282731,171.00045880777017
1,All Population,1,Deaths,44563,African Region,1,Male,389,6-11 months,494,Stroke,1,Number,2014,309.07280358932303,578.5375578415562,143.04499457439243
1,All Population,1,Deaths,44563,African Region,2,Female,389,6-11 months,494,Stroke,1,Number,2014,226.30136138181496,487.1125865414638,83.06631401790419
1,All Population,1,Deaths,44563,African Region,1,Male,420,<70 years,494,Stroke,1,Number,2014,115281.8543777874,154578.05714928132,85467.39735537418
